State Name,District Name,Market Name,Variety,Group
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Lasur Station,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
